Real[1.54508497187473725631e-01 with 64 bits of precision,2.44717418524232135923e-02 with 64 bits of precision,9.8768834059513777035e-01 with 64 bits of precision,4.00000000000000032721e-05 with 64 bits of precision,3.08843756462938905224e+07 with 64 bits of precision]
Real[1.54508497187473725631e-01 with 64 bits of precision,2.44717418524232135923e-02 with 64 bits of precision,9.8768834059513777035e-01 with 64 bits of precision,3.00000000000000109244e-05 with 64 bits of precision,1.11518562288599068808e+08 with 64 bits of precision]
Real[1.54508497187473725631e-01 with 64 bits of precision,2.44717418524232135923e-02 with 64 bits of precision,9.8768834059513777035e-01 with 64 bits of precision,1.99999999999999982479e-05 with 64 bits of precision,1.11518562288609994546e+08 with 64 bits of precision]
Real[1.54508497187473725631e-01 with 64 bits of precision,2.44717418524232135923e-02 with 64 bits of precision,9.8768834059513777035e-01 with 64 bits of precision,9.99999999999999912396e-06 with 64 bits of precision,1.11518562288341143336e+08 with 64 bits of precision]
Real[3.05212482389888795087e-01 with 64 bits of precision,4.83409082033849288318e-02 with 64 bits of precision,9.51056516295153531182e-01 with 64 bits of precision,1.00000000000000005551e-01 with 64 bits of precision,8.06511769218844309058e+00 with 64 bits of precision]
Real[3.05212482389888795087e-01 with 64 bits of precision,4.83409082033849288318e-02 with 64 bits of precision,9.51056516295153531182e-01 with 64 bits of precision,9.00000000000000105471e-02 with 64 bits of precision,8.08202317139890805131e+00 with 64 bits of precision]
Real[3.05212482389888795087e-01 with 64 bits of precision,4.83409082033849288318e-02 with 64 bits of precision,9.51056516295153531182e-01 with 64 bits of precision,8.00000000000000016653e-02 with 64 bits of precision,8.10569649136255405281e+00 with 64 bits of precision]
Real[3.05212482389888795087e-01 with 64 bits of precision,4.83409082033849288318e-02 with 64 bits of precision,9.51056516295153531182e-01 with 64 bits of precision,7.00000000000000066613e-02 with 64 bits of precision,9.32387107878044909953e+01 with 64 bits of precision]
Real[3.05212482389888795087e-01 with 64 bits of precision,4.83409082033849288318e-02 with 64 bits of precision,9.51056516295153531182e-01 with 64 bits of precision,6.00000000000000047184e-02 with 64 bits of precision,9.32520113368675820503e+01 with 64 bits of precision]
Real[3.05212482389888795087e-01 with 64 bits of precision,4.83409082033849288318e-02 with 64 bits of precision,9.51056516295153531182e-01 with 64 bits of precision,5.00000000000000027756e-02 with 64 bits of precision,9.32681061611143367093e+01 with 64 bits of precision]
